Date,Close,Volume
1999-01-04,2.957813024520874,785844000
1999-01-05,3.112499952316284,1257464000
1999-01-06,3.450000047683716,723532000
1999-01-07,3.971874952316284,945492000
1999-01-08,4.006249904632568,1333244000
1999-01-11,4.615624904632568,778460000
1999-01-12,4.084374904632568,488864000
1999-01-13,3.700000047683716,597528000
1999-01-14,3.450000047683716,418248000
1999-01-15,3.5093750953674316,402652000
1999-01-19,3.4953129291534424,228108000
1999-01-20,2.825000047683716,610704000
1999-01-21,2.6500000953674316,940964000
1999-01-22,3.075000047683716,875316000
1999-01-25,2.809375047683716,546476000
1999-01-26,2.8773438930511475,490696000
1999-01-27,3.140625,700452000
1999-01-28,3.0718750953674316,475012000
1999-01-29,2.92343807220459,327920000
1999-02-01,2.8968749046325684,255620000
1999-02-02,2.7562499046325684,260972000
1999-02-03,3.143749952316284,375820000
1999-02-04,2.950000047683716,232992000
1999-02-05,2.8968749046325684,171320000
1999-02-08,2.7281250953674316,251964000
1999-02-09,2.5,256520000
1999-02-10,2.4359378814697266,264100000
1999-02-11,2.746875047683716,275860000
1999-02-12,2.612499952316284,155308000
1999-02-16,2.465625047683716,155596000
1999-02-17,2.3375000953674316,193372000
1999-02-18,2.237499952316284,431252000
1999-02-19,2.546875,538364000
1999-02-22,2.6624999046325684,384244000
1999-02-23,2.879688024520874,422784000
1999-02-24,2.773437976837158,495728000
1999-02-25,3.125,733796000
1999-02-26,3.203125,507308000
1999-03-01,3.325000047683716,387380000
1999-03-02,3.03281307220459,332064000
1999-03-03,3.0875000953674316,310576000
1999-03-04,3.003124952316284,357748000
1999-03-05,3.0374999046325684,243524000
1999-03-08,3.054687976837158,209252000
1999-03-09,3.2484378814697266,325840000
1999-03-10,3.4281249046325684,282352000
1999-03-11,3.371875047683716,325044000
1999-03-12,3.332813024520874,186652000
1999-03-15,3.473438024520874,140416000
1999-03-16,3.34531307220459,150688000
1999-03-17,3.2750000953674316,157348000
1999-03-18,3.460937976837158,246004000
1999-03-19,3.37656307220459,214504000
1999-03-22,3.299999952316284,131968000
1999-03-23,2.984375,224336000
1999-03-24,3.0921878814697266,230876000
1999-03-25,3.496875047683716,321996000
1999-03-26,3.476562976837158,498440000
1999-03-29,3.7406249046325684,377760000
1999-03-30,4.117187976837158,523548000
1999-03-31,4.304687976837158,441884000
1999-04-01,4.275000095367432,231464000
1999-04-05,4.662499904632568,318336000
1999-04-06,4.571875095367432,290636000
1999-04-07,4.395312786102295,263332000
1999-04-08,4.474999904632568,229756000
1999-04-09,4.571875095367432,136780000
1999-04-12,4.61093807220459,171384000
1999-04-13,4.459374904632568,160776000
1999-04-14,4.199999809265137,199056000
1999-04-15,4.181250095367432,329968000
1999-04-16,4.75,633204000
1999-04-19,3.973438024520874,567396000
1999-04-20,4.300000190734863,400100000
1999-04-21,4.481249809265137,221640000
1999-04-22,4.75156307220459,250764000
1999-04-23,5.253125190734863,634336000
1999-04-26,5.179687976837158,279700000
1999-04-27,5.146874904632568,357908000
1999-04-28,4.837500095367432,389476000
1999-04-29,4.206250190734863,844168000
1999-04-30,4.301562786102295,355528000
1999-05-03,3.773437976837158,523728000
1999-05-04,3.575000047683716,433928000
1999-05-05,3.6624999046325684,554196000
1999-05-06,3.434375047683716,365688000
1999-05-07,3.409374952316284,333080000
1999-05-10,3.671875,284824000
1999-05-11,3.7093749046325684,278828000
1999-05-12,3.5734379291534424,146548000
1999-05-13,3.4000000953674316,229980000
1999-05-14,3.309375047683716,225336000
1999-05-17,3.440624952316284,417164000
1999-05-18,3.315624952316284,248156000
1999-05-19,3.489063024520874,252384000
1999-05-20,3.270313024520874,137880000
